"All Inlinks"
"Type","Source","Destination","Alt Text","Anchor","Status Code","Status","Follow"
"HREF","http://www.example.com/product-1-1","http://www.example.com/","","Home","200","OK","true"
"HREF","http://www.example.com/product-1-2","http://www.example.com/","","Home","200","OK","true"
"HREF","http://www.example.com/product-2-1","http://www.example.com/","","Home","200","OK","true"
"HREF","http://www.example.com/cat-1","http://www.example.com/product-1-1","","Produkt 1 1","200","OK","true"
"HREF","http://www.example.com/cat-1","http://www.example.com/product-1-2","","Produkt 1 2","200","OK","true"
"HREF","http://www.example.com/cat-1","http://www.example.com/","","Home","200","OK","true"
"HREF","http://www.example.com/cat-2","http://www.example.com/product-2-1","","Home","200","OK","true"
"HREF","http://www.example.com/cat-2","http://www.example.com/","","Home","200","OK","true"
"HREF","http://www.example.com/","http://www.example.com/cat-1","","Kategorie 1","200","OK","true"
"HREF","http://www.example.com/","http://www.example.com/cat-2","","Kategorie 2","200","OK","true"
